rang,source_package,path,file_name,extension,document_type,size_kb,active_package,qa_status,online_target,notes
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/daten/rang15_content_index.json,rang15_content_index.json,json,Sonstiges,5.5,ja,Import pruefen,/downloads/rang-15/rang15_content_index.json,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/daten/toolcards_rang15.json,toolcards_rang15.json,json,Toolkarten,1.7,ja,Import pruefen,/downloads/rang-15/toolcards_rang15.json,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/00_Bestands-und-Nachlieferliste_Rang15.md,00_Bestands-und-Nachlieferliste_Rang15.md,md,Sonstiges,2.8,ja,Import pruefen,/downloads/rang-15/00_Bestands-und-Nachlieferliste_Rang15.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/01_Portalstartseite_Migration-und-Vielfalt.md,01_Portalstartseite_Migration-und-Vielfalt.md,md,Portalstartseite,9.0,ja,Import pruefen,/downloads/rang-15/01_Portalstartseite_Migration-und-Vielfalt.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/02_Konzeptpapier_Migration-und-Vielfalt.md,02_Konzeptpapier_Migration-und-Vielfalt.md,md,Konzeptpapier,13.1,ja,Import pruefen,/downloads/rang-15/02_Konzeptpapier_Migration-und-Vielfalt.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/03_Gesamtdossier_Migration-und-Vielfalt.md,03_Gesamtdossier_Migration-und-Vielfalt.md,md,Gesamtdossier,15.7,ja,Import pruefen,/downloads/rang-15/03_Gesamtdossier_Migration-und-Vielfalt.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/04_Detailkonzept_Migration-als-Wirkungsfeld.md,04_Detailkonzept_Migration-als-Wirkungsfeld.md,md,Detailkonzept,15.3,ja,Import pruefen,/downloads/rang-15/04_Detailkonzept_Migration-als-Wirkungsfeld.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/05_Detailkonzept_Integration-als-Infrastruktur.md,05_Detailkonzept_Integration-als-Infrastruktur.md,md,Detailkonzept,15.0,ja,Import pruefen,/downloads/rang-15/05_Detailkonzept_Integration-als-Infrastruktur.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/06_Detailkonzept_Vielfalt-als-Resilienzfaktor.md,06_Detailkonzept_Vielfalt-als-Resilienzfaktor.md,md,Detailkonzept,14.8,ja,Import pruefen,/downloads/rang-15/06_Detailkonzept_Vielfalt-als-Resilienzfaktor.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/07_Detailkonzept_Zugehoerigkeit-und-Teilgabe.md,07_Detailkonzept_Zugehoerigkeit-und-Teilgabe.md,md,Detailkonzept,14.5,ja,Import pruefen,/downloads/rang-15/07_Detailkonzept_Zugehoerigkeit-und-Teilgabe.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/08_Detailkonzept_Arbeitsmarkt-Fachkraefte-Demografie.md,08_Detailkonzept_Arbeitsmarkt-Fachkraefte-Demografie.md,md,Detailkonzept,14.5,ja,Import pruefen,/downloads/rang-15/08_Detailkonzept_Arbeitsmarkt-Fachkraefte-Demografie.md,Aus aktivem Rangpaket erkannt.
15,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,rang15_migration_vielfalt_paket/markdown/09_Detailkonzept_Bildung-Sprache-Wirkungskompetenz.md,09_Detailkonzept_Bildung-Sprache-Wirkungskompetenz.md,md,Detailkonzept,14.3,ja,Import pruefen,/downloads/rang-15/09_Detailkonzept_Bildung-Sprache-Wirkungskompetenz.md,Aus aktivem Rangpaket erkannt.
