area,item,criterion,priority,status,owner,notes
Downloads,Alle PDF-Downloads funktionieren,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Downloads,Alle DOCX-Downloads funktionieren,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Downloads,ZIP-Downloads funktionieren,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Onlinefassungen,Alle Portale haben vollstaendige Online-Volltexte,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Onlinefassungen,Keine Seite ist nur PDF-Teaser,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Detailkonzepte,Keine kurzen Grobtexte als Detailkonzept ausweisen,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Toolkarten,Keine Toolkarte besteht nur aus einem Namen,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Toolkarten,"Alle Toolkarten haben Beschreibung, Nutzen, Status und Link",Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Begriffe,Wirkung wird neutral und relational erklaert,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Begriffe,SDG+ wird nicht als UN-Kategorie dargestellt,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Begriffe,"Mensch, Planet und Demokratie als kommunikative Uebersetzung erklaeren",Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Politische Anschlussfaehigkeit,Pflichtblock auf allen Wirkungsfeldseiten vorhanden,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Politische Anschlussfaehigkeit,Parteien behalten Ausgestaltungsspielraum,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
UX,Mobile Inhaltsverzeichnisse funktionieren,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
UX,Tabellen sind responsiv oder als Cards umgesetzt,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
UX,Druckfunktion vorhanden,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
SEO,Meta Title und Description vorhanden,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Links,Website-Links ohne 404,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Links,Buchanker gesetzt,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Links,Glossarlinks gesetzt,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Qualitaet,Keine fachlichen Arbeitsvermerke im Website,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Qualitaet,Alle sichtbaren Seiten haben fertige Inhalte,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Qualitaet,Keine en dashes im oeffentlichen Text,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Build,Build erfolgreich,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Build,Lint erfolgreich oder dokumentierte Ausnahmen,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Datenschutz,Keine Personenbewertung oder Social-Credit-Logik,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Bibliothek,"Masterbibliothek listet PDF, DOCX und Onlinefassung",Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Bibliothek,Dokumenttypen und Filter funktionieren,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
Bibliothek,Dubletten und aktive Versionen markiert,Muss fuer Website 1.0 erfuellt sein.,hoch,offen,Fachteam / Fachteam,
