rang,portal,page_type,slug,status,notes
0,"SDG-/SDG+-Referenz, Glossar, Onlinefassung-Template",Portalstartseite,/portale/sdg-sdgplus-referenz/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
1,Produkte & Konsum / Wirkungsumsatzsteuer,Portalstartseite,/portale/produkte-und-konsum/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
2,Impact Controlling / T-SROI / WÖk-IDs / Scorecards,Portalstartseite,/portale/impact-controlling/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
3,"Staat, Recht & Demokratie / WStG / Wirkungsrat",Portalstartseite,/portale/staat-recht-und-demokratie/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
4,Wirtschaft & Unternehmen,Portalstartseite,/portale/wirtschaft-und-unternehmen/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
5,Wohnen & Stadt,Portalstartseite,/portale/wohnen-und-stadt/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
6,Arbeit & Einkommen / Automatisierung,Portalstartseite,/portale/arbeit-und-einkommen/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
7,Rente & soziale Sicherung,Portalstartseite,/portale/rente-und-soziale-sicherung/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
8,Bildung / Wirkungsschule,Portalstartseite,/portale/bildung/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
9,"Medien, Social Media & Journalismus",Portalstartseite,/portale/medien-social-media-und-journalismus/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
10,Gesundheit & Pflege,Portalstartseite,/portale/gesundheit-und-pflege/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
11,"Wissenschaft, Innovation & Digitalisierung",Portalstartseite,/portale/wissenschaft-innovation-und-digitalisierung/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
12,Finanzsystem & Kapital,Portalstartseite,/portale/finanzsystem-und-kapital/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
13,"Klima, Energie & Ressourcen",Portalstartseite,/portale/klima-energie-und-ressourcen/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
14,"Kultur, Identitaet & Resonanz",Portalstartseite,/portale/kultur-identitaet-und-resonanz/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
15,Migration & Vielfalt,Portalstartseite,/portale/migration-und-vielfalt/,erforderlich,"Portal-Hero, Onlinefassungen, Downloads, Toolkarten, SDG-/SDG+-Block, politische Anschlussfaehigkeit."
