SDG,Target,Globaler Inhalt (paraphrasiert),Europa/Deutschland-Bezug,Wirkungsökonomische Bedeutung
SDG 1 - Keine Armut,1.1,Extreme Armut beenden.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 1 - Keine Armut,1.2,Armut nach nationalen Definitionen deutlich reduzieren.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 1 - Keine Armut,1.3,Sozialschutzsysteme und Grundsicherung ausbauen.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 1 - Keine Armut,1.4,"Zugang zu Grunddiensten, Eigentum, Ressourcen und Finanzen sichern.","Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 1 - Keine Armut,1.5,Resilienz armer und vulnerabler Gruppen gegenüber Krisen stärken.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 1 - Keine Armut,1.a,Ressourcen zur Armutsbekämpfung mobilisieren.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 1 - Keine Armut,1.b,Politische Rahmen für armutsorientierte Entwicklung stärken.,"Europa/Deutschland: relative Armut, Kinderarmut, Altersarmut, Wohnkosten, regionale Ungleichheit, Teilhabe und Sozialschutz präzisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 2 - Kein Hunger,2.1,Hunger beenden und sichere Ernährung gewährleisten.,"Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.2,Fehlernährung in allen Formen überwinden.,"Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.3,Produktivität und Einkommen kleiner Erzeuger:innen erhöhen.,"Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.4,"Nachhaltige, resiliente Ernährungssysteme sichern.","Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.5,"Genetische Vielfalt von Saatgut, Nutzpflanzen und Tieren erhalten.","Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.a,Investitionen in Landwirtschaft und ländliche Entwicklung stärken.,"Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.b,Handelsverzerrungen in Agrarmärkten reduzieren.,"Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 2 - Kein Hunger,2.c,Nahrungsmittelmärkte stabilisieren und Preisschwankungen begrenzen.,"Europa/Deutschland: Ernährungssicherheit, nachhaltige Landwirtschaft, Bodenschutz, Tierhaltung, Lieferketten, Lebensmittelverschwendung und gesunde Ernährung übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 3 - Gesundheit und Wohlergehen,3.1,Müttersterblichkeit senken.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
SDG 3 - Gesundheit und Wohlergehen,3.2,Vermeidbare Todesfälle von Neugeborenen und Kindern beenden.,"Europa/Deutschland: Prävention, Gesundheitsgerechtigkeit, Pflege, psychische Gesundheit, Umweltgesundheit, Versorgungssicherheit und Public Health operationalisieren.","WÖk: Ziel wird als soziale, gesundheitliche, Bildungs-, Arbeits-, Wohn- und Teilhabewirkung operationalisiert; Rückkopplung über Wirkungshaushalt, Förderung, Fonds und Scorecards."
