observation_id,company_id,company_name,year,dimension,woek_field,indicator_id,indicator,raw_value,unit,data_quality_class,source_id,source_url,source_anchor,extraction_method,confidence,note
uwpobs-f48484865e8aedca,uwp100-1-1,1&1 AG,2024,Demokratie,Steuertransparenz,cbcr_tax_transparency,Country-by-Country Reporting / Steuertransparenz,,Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-118ad0c7a8f79a83,uwp100-1-1,1&1 AG,2024,Demokratie,Datenschutz,data_privacy_incidents,Datenschutzverstöße / Bußgelder,,Anzahl/Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-c284ce398c1409ef,uwp100-1-1,1&1 AG,2024,Demokratie,Lobbying/Einflussnahme,lobbying_transparency,Lobbying-Transparenz,,Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-fd256a71ff0700fd,uwp100-1-1,1&1 AG,2024,Demokratie,Compliance/Whistleblowing,whistleblowing_cases,Whistleblowing-Fälle und Abhilfe,,Anzahl/Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-188fe2d9db70b226,uwp100-1-1,1&1 AG,2024,Mensch,Arbeitssicherheit,ltifr,Lost Time Injury Frequency Rate,,je Mio. Arbeitsstunden,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-bcef951078bd40c4,uwp100-1-1,1&1 AG,2024,Mensch,Diversität/Teilhabe,women_management_share,Frauenanteil Management,,%,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-1489ed72c6e8a3d3,uwp100-1-1,1&1 AG,2024,Planet,Energie,renewable_electricity_share,Erneuerbarer Strom,,%,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-21db64d42ad1223a,uwp100-1-1,1&1 AG,2025,Planet,Klima/Transformationspfad,sbti_profile_available,SBTi Zielprofil sicher matchbar,,Status,E,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,,official_xlsx_import_no_safe_match,0.0,Kein sicherer SBTi-Match für 1&1 AG im offiziellen Target Dashboard. Das ist keine negative Klimabewertung.
uwpobs-8b9f51f13c4a4225,uwp100-1-1,1&1 AG,2024,Planet,Klima,scope_1_2_ghg_absolute,Scope 1+2 absolut,,t CO2e,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-4cb9d676f12fa133,uwp100-1-1,1&1 AG,2024,Planet,Lieferkette/Klima,scope_3_ghg_absolute,Scope 3 absolut,,t CO2e,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-8aa8721d2bd5c5c2,uwp100-1-1,1&1 AG,2024,Transformation,EU-Taxonomie,taxonomy_aligned_revenue_share,Taxonomie-konformer Umsatzanteil,,%,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-6c7dbf9e06083a45,uwp100-adesso-se,Adesso SE,2024,Demokratie,Steuertransparenz,cbcr_tax_transparency,Country-by-Country Reporting / Steuertransparenz,,Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-7089a5e7ffab4395,uwp100-adesso-se,Adesso SE,2024,Demokratie,Datenschutz,data_privacy_incidents,Datenschutzverstöße / Bußgelder,,Anzahl/Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-2f9daf4a1c9f6181,uwp100-adesso-se,Adesso SE,2024,Demokratie,Lobbying/Einflussnahme,lobbying_transparency,Lobbying-Transparenz,,Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-7b6b3ce85b9e6d6b,uwp100-adesso-se,Adesso SE,2024,Demokratie,Compliance/Whistleblowing,whistleblowing_cases,Whistleblowing-Fälle und Abhilfe,,Anzahl/Status,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-cda61dfe4f572a92,uwp100-adesso-se,Adesso SE,2024,Mensch,Arbeitssicherheit,ltifr,Lost Time Injury Frequency Rate,,je Mio. Arbeitsstunden,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-c79f3f71cb0fc29a,uwp100-adesso-se,Adesso SE,2024,Mensch,Diversität/Teilhabe,women_management_share,Frauenanteil Management,,%,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-a608f5a1da1eb6e7,uwp100-adesso-se,Adesso SE,2024,Planet,Energie,renewable_electricity_share,Erneuerbarer Strom,,%,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-9a3d5efb3da183aa,uwp100-adesso-se,Adesso SE,2025,Planet,Klima/Transformationspfad,sbti_profile_available,SBTi Zielprofil sicher matchbar,,Status,E,sbti-target-dashboard,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,,official_xlsx_import_no_safe_match,0.0,Kein sicherer SBTi-Match für Adesso SE im offiziellen Target Dashboard. Das ist keine negative Klimabewertung.
uwpobs-b32c93375247f847,uwp100-adesso-se,Adesso SE,2024,Planet,Klima,scope_1_2_ghg_absolute,Scope 1+2 absolut,,t CO2e,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
uwpobs-d86093e90320ddaf,uwp100-adesso-se,Adesso SE,2024,Planet,Lieferkette/Klima,scope_3_ghg_absolute,Scope 3 absolut,,t CO2e,E,uwp-required-field-gap,,,required_field_gap_rendered,0.0,"UWP-Kernfeld noch nicht maschinell aus einer versionierten Primärquelle belegt; nicht schätzen, nicht mit 0 füllen."
