sourcePath,sha256,unchanged,pages,textCharacters,signals,reviewScope,disposition
assets/downloads/01_woek_sdgs_agenda2030_referenzrahmen_detailkonzept_v1_0 2.pdf,db8798c06f399f13255daa25d0d6773af3baeb4f49fa1bddc3fd2c58377bbe52,True,8,21786,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/01_woek_sdgs_agenda2030_referenzrahmen_detailkonzept_v1_0.pdf,1d6cf156b339d6c984fe984c7b817e8f8359a3c083b517a0a9d036514f44cd1c,True,8,21786,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/02_woek_sdgplus_erweiterung_detailkonzept_v1_0 2.pdf,37ff9befad101ea677cd468a20e14539b76ba808d28800f62c29e5d5635a7ba4,True,7,18364,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/02_woek_sdgplus_erweiterung_detailkonzept_v1_0.pdf,a3beb2e485e597dcde9213feb23699beecc637dca7cf92b84d1d943ce12b70f8,True,7,18364,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/03_woek_sdg_unterziele_global_europa_deutschland_detailkonzept_v1_0 2.pdf,6d74712037d411171c8a99b773911a14707fab6699c18f59308d898fc7368228,True,22,85094,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/03_woek_sdg_unterziele_global_europa_deutschland_detailkonzept_v1_0.pdf,551b3b373b8f9b86e715efd7775182c5db7698134710f996682ef77aacbc97f3,True,22,84838,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/04_woek_sdg_geschichte_vorlaeufer_verhandlungsprozess_detailkonzept_v1_0 2.pdf,d9b2ba73c722584fdbae6c070b22ab00e00f27aa3a80bd49f769e7abf00e3542,True,10,25320,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/04_woek_sdg_geschichte_vorlaeufer_verhandlungsprozess_detailkonzept_v1_0.pdf,ef25485b6bf4153b5335d671319d5dd5bffa760407f3151833518de0c6feb32b,True,10,25320,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/05_woek_sdgs_risikomanagement_finanzmarktanschluss_detailkonzept_v1_0 2.pdf,e2a51268a71b748e47335e2c2f691e229e6290634be2217bfa0f8c6c9f510427,True,9,23872,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/05_woek_sdgs_risikomanagement_finanzmarktanschluss_detailkonzept_v1_0.pdf,d90f5b47843dfe715b823b06349376d6f5120659cd69e3d96c1f5842336100d7,True,9,23872,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/06_woek_wirtschaft_unternehmen_unternehmen_als_wirkungssysteme_detailkonzept_v1_0 2.pdf,bf83bdd21c9ab02eec92612d21c37eb7a52f02acab65c320a9df1c049e960474,True,11,33150,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/06_woek_wirtschaft_unternehmen_unternehmen_als_wirkungssysteme_detailkonzept_v1_0.pdf,4b1747ec643f51d7bb843eca4127e125c73e97f723f318f7d849b381a351d96b,True,11,33150,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/07_woek_wirtschaft_unternehmen_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0 2.pdf,4293f9d81b7c19ed5b40de70adf7e4e380f2e904049d4b9c8c92458947dcf4ad,True,10,25781,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/07_woek_wirtschaft_unternehmen_wirkungsorientierte_unternehmensfuehrung_detailkonzept_v1_0.pdf,8458e78c980302d9538c2d37dc2cc5ef88056613fb9e5b365df84727bcd214a6,True,10,25781,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0 2.pdf,659bb16e0d7bbdbe904db931159b0e1d2dddb1d180114ad48cf9ead6fbc51e9e,True,11,32099,3,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,Historical text preserved; current references and dated addenda apply
assets/downloads/08_woek_wirtschaft_unternehmen_risikomanagement_resilienz_finanzmarkt_detailkonzept_v1_0.pdf,6fa3077586f5c8d1a9852eb3a99aeda4645e45d22a6d8110bec960d64e94e6ae,True,10,29371,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
assets/downloads/09_woek_wirtschaft_unternehmen_resiliente_wertschoepfungsketten_einkauf_detailkonzept_v1_0 2.pdf,c75f4b54600f52439e2eb75b7e485f88a66c073b6dd9d9eec6e5ca8b59d54f86,True,12,34218,0,Whole-file text extraction; seven terminology/logic signals with documented context review; leading-reference/addendum precedence,No signal in this screening; original publication stand retained
