Methodenfolge;Rang;Portal / Bereich;Thema;Dokumenttyp;Priorität;Rolle;Abhängigkeit für A-Detailkonzepte;Nächster Schritt;Slug
1;0;SDG-/SDG+-Referenzrahmen;SDG-/SDG+-Indikatoren und WÖk-ID-Bezug;Methoden-/Referenzpapier;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als WÖk-ID-/Indikatoren-Referenzpapier ausarbeiten.;sdg--sdg--indikatoren-und-woek-id-bezug
2;1;Produkte & Konsum / Wirkungsumsatzsteuer;Apfelbeispiel und Preiswirkung;Praxisfall-/Berechnungsdossier;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als ausführliches Falldossier mit Berechnung ausarbeiten.;apfelbeispiel-und-preiswirkung
3;1;Produkte & Konsum / Wirkungsumsatzsteuer;Konzernbeispiel BASF Polyamid und Produktscorecard;Praxisfall-/Konzern-Dossier;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als ausführliches Fall- und Rechendossier ausarbeiten.;konzernbeispiel-basf-polyamid-und-produktscorecard
4;1;Produkte & Konsum / Wirkungsumsatzsteuer;Digitale Produktpässe und Produktdatenräume;Technisches Methodenpapier;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als DPP-/Datenraum-Methodenpapier ausarbeiten.;digitale-produktpaesse-und-produktdatenraeume
5;1;Produkte & Konsum / Wirkungsumsatzsteuer;Reverse Merit Order bei Produkten;Methodenpapier;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;"In Rang 2 als Methodenpapier priorisieren; in Produktkonzepte verlinken.";reverse-merit-order-bei-produkten
6;1;Produkte & Konsum / Wirkungsumsatzsteuer;Produktwirkungsrechner und Scorecard-Demo;Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als Toolkarte und Spezifikation führen.;produktwirkungsrechner-und-scorecard-demo
7;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Impact Controlling als methodischer Unterbau;Methodenpapier / Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;impact-controlling-als-methodischer-unterbau
8;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;T-SROI Transformational Social Return on Investment;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;t-sroi-transformational-social-return-on-investment
9;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Netto-Wirkungs-Index NWI;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;netto-wirkungs-index-nwi
10;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;WÖk-IDs und Indikatorenarchitektur;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;woek-ids-und-indikatorenarchitektur
11;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Scorecards und Benchmarks;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;scorecards-und-benchmarks
12;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Reverse Merit Order und Nichtkompensation;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;reverse-merit-order-und-nichtkompensation
13;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Archetypen und Branchenbenchmarks;Methodenpapier / Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;archetypen-und-branchenbenchmarks
14;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Datenqualität, Assurance und Auditierung;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;datenqualitaet-assurance-und-auditierung
15;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Wirkungsdatenräume und digitale Produktpässe;Methodenpapier / Tool-Spezifikation;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;wirkungsdatenraeume-und-digitale-produktpaesse
16;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Scorecard-Generator und WÖk-ID-Browser;Methodenpapier / Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;scorecard-generator-und-woek-id-browser
17;2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;T-SROI-Rechner und Methodenbeispiele;Methodenpapier / Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als vollständiges Methodenpapier im Referenzumfang ausarbeiten.;t-sroi-rechner-und-methodenbeispiele
18;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;LawReader und Paragrafen-Navigator;Tool-/Reader-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als LawReader-Tooldoku führen.;lawreader-und-paragrafen-navigator
19;5;Wohnen & Stadt;Wohnwirkungsindex WIX-Wohn;Index-/Methodenpapier;P1;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;WIX-Wohn als Methodenpapier mit Toolbezug ausarbeiten.;wohnwirkungsindex-wix-wohn
20;5;Wohnen & Stadt;Wohnwirkungsrechner und Sanierungswirkungsrechner;Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als Tool-Spezifikation und Toolkarten führen.;wohnwirkungsrechner-und-sanierungswirkungsrechner
21;7;Rente & soziale Sicherung;Wirkungsrenten-Rechner und Lebenswirkungs-Konto;Tool-Spezifikation;P2;Methoden-/Tool-/Referenzpapier, kein A-Fachdetailkonzept;methodischer Querschnitt;Als Tooldoku/Wirkungsrenten-Rechner führen.;wirkungsrenten-rechner-und-lebenswirkungs-konto
