rang;portal;unterbereich_nr;unterbereich;slug_vorschlag;benoetigt_detailkonzept;benoetigt_einzeldossier;benoetigt_online_detailkonzept;benoetigt_online_dossier;downloadpflicht;politische_anschlussfaehigkeit;sdg_sdgplus_bezug;toolbezug;status_alt;status_neu
0;SDG-/SDG+-Referenzrahmen;1;SDGs und Agenda 2030 als globaler Referenzrahmen;sdgs-und-agenda-2030-als-globaler-referenzrahmen;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;2;Geschichte der SDGs, Vorlaeufer und Verhandlungsprozess;geschichte-der-sdgs-vorlaeufer-und-verhandlungsprozess;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;3;SDG+ als Erweiterung der Wirkungsökonomie;sdg-als-erweiterung-der-wirkungsoekonomie;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;4;SDG-Unterziele global, Europa und Deutschland;sdg-unterziele-global-europa-und-deutschland;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;5;SDG-/SDG+-Indikatoren und WÖk-ID-Bezug;sdg--sdg--indikatoren-und-woek-id-bezug;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;6;SDGs als Risikomanagement und Finanzmarkt-Anschluss;sdgs-als-risikomanagement-und-finanzmarkt-anschluss;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;7;SDG+ Demokratie;sdg-demokratie;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;8;SDG+ Medienqualität;sdg-medienqualitaet;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;9;SDG+ Rechtsstaatlichkeit und Diskursfähigkeit;sdg-rechtsstaatlichkeit-und-diskursfaehigkeit;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
0;SDG-/SDG+-Referenzrahmen;10;SDG+ institutionelles Vertrauen und Zusammenhalt;sdg-institutionelles-vertrauen-und-zusammenhalt;ja - umfangreich neu/ersetzt Kurzfassung;ja - umfangreich neu/ersetzt Kurzfassung;ja - Volltext;ja - Volltext;DOCX, optional PDF;Pflicht;Pflicht;Pflicht falls Tool existiert/ geplant;zu auditieren;offen
