from,to,relation_type,label,exists_as_page,rendered_link,source_section,bidirectional_expected,broken
"abfallhierarchie","kreislaufwirtschaft","related","Kreislaufwirtschaft",true,"/begriffe/kreislaufwirtschaft/","relatedTerms",false,false
"abfallhierarchie","recycling","related","Recycling",true,"/begriffe/recycling/","relatedTerms",false,false
"abfallhierarchie","lineare-wirtschaft","related","Lineare Wirtschaft",true,"/begriffe/lineare-wirtschaft/","relatedTerms",false,false
"abfallhierarchie","zero-waste","related","Null-Abfall / Zero Waste",true,"/begriffe/zero-waste/","relatedTerms",false,false
"abfallhierarchie","kreislaufwirtschaft","related","Kreislaufwirtschaft",true,"/begriffe/kreislaufwirtschaft/","relatedTerms",false,false
"abfallhierarchie","recycling","related","Recycling",true,"/begriffe/recycling/","relatedTerms",false,false
"abfallhierarchie","lineare-wirtschaft","related","Lineare Wirtschaft",true,"/begriffe/lineare-wirtschaft/","relatedTerms",false,false
"abfallhierarchie","zero-waste","related","Null-Abfall / Zero Waste",true,"/begriffe/zero-waste/","relatedTerms",false,false
"abregelung","redispatch","related","Redispatch",true,"/begriffe/redispatch/","relatedTerms",false,false
"abregelung","erneuerbare-energien","related","Erneuerbare Energien",true,"/begriffe/erneuerbare-energien/","relatedTerms",false,false
"abregelung","netzengpass","related","Netzengpass",true,"/begriffe/netzengpass/","relatedTerms",false,false
"abregelung","einspeisemanagement","related","Einspeisemanagement",true,"/begriffe/einspeisemanagement/","relatedTerms",false,false
"abregelung","redispatch-2-0","related","Redispatch 2.0",true,"/begriffe/redispatch-2-0/","relatedTerms",false,false
"abregelung","redispatch","related","Redispatch",true,"/begriffe/redispatch/","relatedTerms",false,false
"abregelung","erneuerbare-energien","related","Erneuerbare Energien",true,"/begriffe/erneuerbare-energien/","relatedTerms",false,false
"abregelung","netzengpass","related","Netzengpass",true,"/begriffe/netzengpass/","relatedTerms",false,false
"abregelung","einspeisemanagement","related","Einspeisemanagement",true,"/begriffe/einspeisemanagement/","relatedTerms",false,false
"abregelung","redispatch-2-0","related","Redispatch 2.0",true,"/begriffe/redispatch-2-0/","relatedTerms",false,false
"ac-laden","on-board-charger","related","On-Board-Charger",true,"/begriffe/on-board-charger/","relatedTerms",false,false
"ac-laden","typ-2-stecker","related","Typ-2-Stecker",true,"/begriffe/typ-2-stecker/","relatedTerms",false,false
"ac-laden","wallbox","related","Wallbox",true,"/begriffe/wallbox/","relatedTerms",false,false
"ac-laden","ladeinfrastruktur","related","Ladeinfrastruktur",true,"/begriffe/ladeinfrastruktur/","relatedTerms",false,false
"ac-laden","normalladen","related","Normalladen",true,"/begriffe/normalladen/","relatedTerms",false,false
"ac-laden","on-board-charger","related","On-Board-Charger",true,"/begriffe/on-board-charger/","relatedTerms",false,false
"ac-laden","typ-2-stecker","related","Typ-2-Stecker",true,"/begriffe/typ-2-stecker/","relatedTerms",false,false
"ac-laden","wallbox","related","Wallbox",true,"/begriffe/wallbox/","relatedTerms",false,false
"ac-laden","ladeinfrastruktur","related","Ladeinfrastruktur",true,"/begriffe/ladeinfrastruktur/","relatedTerms",false,false
"ac-laden","normalladen","related","Normalladen",true,"/begriffe/normalladen/","relatedTerms",false,false
"ad-hoc-laden","roaming-ladeinfrastruktur","related","Roaming Ladeinfrastruktur",true,"/begriffe/roaming-ladeinfrastruktur/","relatedTerms",false,false
"ad-hoc-laden","eichrecht-ladeinfrastruktur","related","Eichrecht Ladeinfrastruktur",true,"/begriffe/eichrecht-ladeinfrastruktur/","relatedTerms",false,false
"ad-hoc-laden","roaming-ladeinfrastruktur","related","Roaming Ladeinfrastruktur",true,"/begriffe/roaming-ladeinfrastruktur/","relatedTerms",false,false
"ad-hoc-laden","eichrecht-ladeinfrastruktur","related","Eichrecht Ladeinfrastruktur",true,"/begriffe/eichrecht-ladeinfrastruktur/","relatedTerms",false,false
"adam-smith","kapital","related","Kapital",true,"/begriffe/kapital/","relatedTerms",false,false
"adam-smith","wirkungswahrheit","related","Wirkungswahrheit",true,"/begriffe/wirkungswahrheit/","relatedTerms",false,false
"adam-smith","externalisierung","related","Externalisierung",true,"/begriffe/externalisierung/","relatedTerms",false,false
"adam-smith","marktwert","related","Marktwert",true,"/begriffe/marktwert/","relatedTerms",false,false
"adam-smith","kapital","related","Kapital",true,"/begriffe/kapital/","relatedTerms",false,false
"adam-smith","wirkungswahrheit","related","Wirkungswahrheit",true,"/begriffe/wirkungswahrheit/","relatedTerms",false,false
"adam-smith","externalisierung","related","Externalisierung",true,"/begriffe/externalisierung/","relatedTerms",false,false
"adam-smith","marktwert","related","Marktwert",true,"/begriffe/marktwert/","relatedTerms",false,false
"adverse-selection","informationsasymmetrie","related","Informationsasymmetrie",true,"/begriffe/informationsasymmetrie/","relatedTerms",false,false
"adverse-selection","informationsasymmetrie","related","Informationsasymmetrie",true,"/begriffe/informationsasymmetrie/","relatedTerms",false,false
"advocacy-organisation","ngo","related","NGO",true,"/begriffe/ngo/","relatedTerms",false,false
"advocacy-organisation","lobbyismus","related","Lobbyismus",true,"/begriffe/lobbyismus/","relatedTerms",false,false
"advocacy-organisation","interessenvertretung","related","Interessenvertretung",true,"/begriffe/interessenvertretung/","relatedTerms",false,false
"advocacy-organisation","public-affairs","related","Public Affairs",true,"/begriffe/public-affairs/","relatedTerms",false,false
"advocacy-organisation","thinktank","related","Thinktank",true,"/begriffe/thinktank/","relatedTerms",false,false
"advocacy-organisation","heritage-foundation","related","Heritage Foundation",true,"/begriffe/heritage-foundation/","relatedTerms",false,false
"advocacy-organisation","bewegungs-ngo","related","Bewegungs-NGO",true,"/begriffe/bewegungs-ngo/","relatedTerms",false,false
"advocacy-organisation","ngo","related","NGO",true,"/begriffe/ngo/","relatedTerms",false,false
"advocacy-organisation","lobbyismus","related","Lobbyismus",true,"/begriffe/lobbyismus/","relatedTerms",false,false
"advocacy-organisation","interessenvertretung","related","Interessenvertretung",true,"/begriffe/interessenvertretung/","relatedTerms",false,false
"advocacy-organisation","public-affairs","related","Public Affairs",true,"/begriffe/public-affairs/","relatedTerms",false,false
"advocacy-organisation","thinktank","related","Thinktank",true,"/begriffe/thinktank/","relatedTerms",false,false
"advocacy-organisation","heritage-foundation","related","Heritage Foundation",true,"/begriffe/heritage-foundation/","relatedTerms",false,false
"advocacy-organisation","bewegungs-ngo","related","Bewegungs-NGO",true,"/begriffe/bewegungs-ngo/","relatedTerms",false,false
"aeussere-loops","innere-loops","related","Innere Loops",true,"/begriffe/innere-loops/","relatedTerms",false,false
"aeussere-loops","recycling","related","Recycling",true,"/begriffe/recycling/","relatedTerms",false,false
"aeussere-loops","downcycling","related","Downcycling",true,"/begriffe/downcycling/","relatedTerms",false,false
"aeussere-loops","kreislaufwirkung","related","Kreislaufwirkung",true,"/begriffe/kreislaufwirkung/","relatedTerms",false,false
"aeussere-loops","circular-economy-butterfly-model","related","Circular Economy Butterfly Model",true,"/begriffe/circular-economy-butterfly-model/","relatedTerms",false,false
"aeussere-loops","innere-loops","related","Innere Loops",true,"/begriffe/innere-loops/","relatedTerms",false,false
"aeussere-loops","recycling","related","Recycling",true,"/begriffe/recycling/","relatedTerms",false,false
"aeussere-loops","downcycling","related","Downcycling",true,"/begriffe/downcycling/","relatedTerms",false,false
"aeussere-loops","kreislaufwirkung","related","Kreislaufwirkung",true,"/begriffe/kreislaufwirkung/","relatedTerms",false,false
"aeussere-loops","circular-economy-butterfly-model","related","Circular Economy Butterfly Model",true,"/begriffe/circular-economy-butterfly-model/","relatedTerms",false,false
"affekt","affektheuristik","related","Affektheuristik",true,"/begriffe/affektheuristik/","relatedTerms",false,false
"affekt","emotionsregulation","related","Emotionsregulation",true,"/begriffe/emotionsregulation/","relatedTerms",false,false
"affekt","affektheuristik","related","Affektheuristik",true,"/begriffe/affektheuristik/","relatedTerms",false,false
"affekt","emotionsregulation","related","Emotionsregulation",true,"/begriffe/emotionsregulation/","relatedTerms",false,false
"affektheuristik","salienz","related","Salienz",true,"/begriffe/salienz/","relatedTerms",false,false
"affektheuristik","alarm-frame","related","Alarm-Frame / Bedrohungsframe",true,"/begriffe/alarm-frame/","relatedTerms",false,false
"affektheuristik","framing","related","Frame / Framing",true,"/begriffe/framing/","relatedTerms",false,false
"affektheuristik","emotionsregulation","related","Emotionsregulation",true,"/begriffe/emotionsregulation/","relatedTerms",false,false
"affektheuristik","verfuegbarkeitsheuristik","related","Verfügbarkeitsheuristik",true,"/begriffe/verfuegbarkeitsheuristik/","relatedTerms",false,false
"affektheuristik","kognitive-dissonanz","related","Kognitive Dissonanz",true,"/begriffe/kognitive-dissonanz/","relatedTerms",false,false
"affektheuristik","affekt","related","Affekt",true,"/begriffe/affekt/","relatedTerms",false,false
"affektheuristik","salienz","related","Salienz",true,"/begriffe/salienz/","relatedTerms",false,false
"affektheuristik","alarm-frame","related","Alarm-Frame / Bedrohungsframe",true,"/begriffe/alarm-frame/","relatedTerms",false,false
"affektheuristik","framing","related","Frame / Framing",true,"/begriffe/framing/","relatedTerms",false,false
"affektheuristik","emotionsregulation","related","Emotionsregulation",true,"/begriffe/emotionsregulation/","relatedTerms",false,false
"affektheuristik","verfuegbarkeitsheuristik","related","Verfügbarkeitsheuristik",true,"/begriffe/verfuegbarkeitsheuristik/","relatedTerms",false,false
"affektheuristik","kognitive-dissonanz","related","Kognitive Dissonanz",true,"/begriffe/kognitive-dissonanz/","relatedTerms",false,false
"affektheuristik","affekt","related","Affekt",true,"/begriffe/affekt/","relatedTerms",false,false
"agenda-2030","sdgs","related","SDGs",true,"/begriffe/sdgs/","relatedTerms",false,false
"agenda-2030","sdg-plus","related","SDG+",true,"/begriffe/sdg-plus/","relatedTerms",false,false
"agenda-2030","positive-netto-wirkung","related","positive Netto-Wirkung",true,"/begriffe/positive-netto-wirkung/","relatedTerms",false,false
"agenda-2030","hunger-hungerbekaempfung","related","Hunger / Hungerbekämpfung",true,"/begriffe/hunger-hungerbekaempfung/","relatedTerms",false,false
"agenda-2030","idgs","related","IDGs",true,"/begriffe/idgs/","relatedTerms",false,false
"agenda-2030","mensch-planet-demokratie","related","Mensch, Planet und Demokratie",true,"/begriffe/mensch-planet-demokratie/","relatedTerms",false,false
"agenda-2030","sdg-sdgplus-referenzrahmen","related","SDG-/SDG+-Referenzrahmen",true,"/begriffe/sdg-sdgplus-referenzrahmen/","relatedTerms",false,false
"agenda-2030","sdgs","related","SDGs",true,"/begriffe/sdgs/","relatedTerms",false,false
"agenda-2030","sdg-plus","related","SDG+",true,"/begriffe/sdg-plus/","relatedTerms",false,false
"agenda-2030","positive-netto-wirkung","related","positive Netto-Wirkung",true,"/begriffe/positive-netto-wirkung/","relatedTerms",false,false
"agenda-2030","hunger-hungerbekaempfung","related","Hunger / Hungerbekämpfung",true,"/begriffe/hunger-hungerbekaempfung/","relatedTerms",false,false
"agenda-2030","idgs","related","IDGs",true,"/begriffe/idgs/","relatedTerms",false,false
"agenda-2030","mensch-planet-demokratie","related","Mensch, Planet und Demokratie",true,"/begriffe/mensch-planet-demokratie/","relatedTerms",false,false
"agenda-2030","sdg-sdgplus-referenzrahmen","related","SDG-/SDG+-Referenzrahmen",true,"/begriffe/sdg-sdgplus-referenzrahmen/","relatedTerms",false,false
"agenda-setting","framing","related","Frame / Framing",true,"/begriffe/framing/","relatedTerms",false,false
"agenda-setting","thinktank","related","Thinktank",true,"/begriffe/thinktank/","relatedTerms",false,false
"agenda-setting","policy-netzwerk","related","Policy-Netzwerk",true,"/begriffe/policy-netzwerk/","relatedTerms",false,false
"agenda-setting","aufmerksamkeit","related","Aufmerksamkeit",true,"/begriffe/aufmerksamkeit/","relatedTerms",false,false
"agenda-setting","policy-entrepreneurship","related","Policy Entrepreneurship",true,"/begriffe/policy-entrepreneurship/","relatedTerms",false,false
"agenda-setting","astroturfing","related","Astroturfing",true,"/begriffe/astroturfing/","relatedTerms",false,false
"agenda-setting","public-affairs","related","Public Affairs",true,"/begriffe/public-affairs/","relatedTerms",false,false
"agenda-setting","propaganda","related","Propaganda",true,"/begriffe/propaganda/","relatedTerms",false,false
"agenda-setting","politischer-vorraum","related","Politischer Vorraum",true,"/begriffe/politischer-vorraum/","relatedTerms",false,false
"agenda-setting","framing","related","Frame / Framing",true,"/begriffe/framing/","relatedTerms",false,false
"agenda-setting","thinktank","related","Thinktank",true,"/begriffe/thinktank/","relatedTerms",false,false
"agenda-setting","policy-netzwerk","related","Policy-Netzwerk",true,"/begriffe/policy-netzwerk/","relatedTerms",false,false
"agenda-setting","aufmerksamkeit","related","Aufmerksamkeit",true,"/begriffe/aufmerksamkeit/","relatedTerms",false,false
"agenda-setting","policy-entrepreneurship","related","Policy Entrepreneurship",true,"/begriffe/policy-entrepreneurship/","relatedTerms",false,false
