"object_id","primary_dip_id","all_dip_ids","source_ref_count","distinct_titles","responsible_ministries","date_span","shared_document_ids","strong_identity_anchor","explicit_official_same_measure_reference","review_result"
"govaction:dip:321575","321575","321575|321278|321234|321722|321361|321188|322919|321994|325546|325542|325540|325537|325536|325534|325532|325531|325530|325526|325525|325524|325523|325520|325518|325517|325515|325509|325508|325507|325506|325505|325502|325499|325497|325494|325492|325491|325490|325488|325487|325486|325484|325482|325481|325480|325479|325478|325457|325455|325451|325447|326602|326601|324545","217","53","Bundesministerium für Gesundheit|Bundesministerium der Finanzen|Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz|Bundesministerium für Digitales und Verkehr|Auswärtiges Amt|Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung|Bundesministerium für Bildung und Forschung|Bundesministerium für Wirtschaft und Klimaschutz|Bundeskanzleramt|Bundesministerium für Familie, Senioren, Frauen und Jugend|Bundesministerium für Arbeit und Soziales|Bundesministerium für Ernährung und Landwirtschaft|Bundesministerium des Innern und für Heimat|Bundesministerium für Forschung, Technologie und Raumfahrt","2018-08-22..2025-11-13","BT 21/110|BT 21/251|BT 21/33|BR 174/25|BT 21/14|BT 21/125|BT 21/11|BR 165/25|BT 21/62|BT 20/8027|BR 159/25|BT 21/21|BT 20/14480|BT 21/230|BT 21/8|BT 21/444|BT 21/467|BT 20/14310|BT 21/1541|BT 20/11450|BT 20/9880|BT 20/9580|BT 20/14325|BT 20/14303|BT 20/14090|BT 20/12760|BT 20/12450|BT 20/11595|BT 20/11585|BT 20/9830|BT 20/8719|BT 20/12393|BT 20/10006|BT 20/9750|BT 20/8100|BT 20/7120|BT 20/5650|BT 20/4573|BT 20/2510|BT 20/412|BT 19/30292|BT 19/16070|BT 19/3960|BT 20/14315|BT 20/14086|BT 20/14085|BT 20/12550|BT 20/9834|BT 20/13790|BT 20/11850|BT 20/10001|BT 20/14488|BT 20/13000|BT 20/12765|BT 20/12370|BT 20/12270|BT 20/10476|BT 20/9090|BT 20/1651|BT 20/46|BT 21/2069|BT 21/2650|BT 21/2651|BT 21/40|BT 21/2068|BT 21/2648|BT 21/2649|BT 21/1100|BT 174/25|BT 165/25|BT 159/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:323212","323212","323212|322956","7","2","Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend|Bundesministerium des Innern","2025-06-24..2025-07-11","BR 317/25|BT 21/700|BT 21/852|BT 21/650|BT 317/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:322135","322135","322135|322134","9","2","Bundesministerium für Gesundheit","2025-05-30..2025-07-11","BR 226/25|BR 1056|BR 226/25(B)|BR 225/25|BR 225/1/25|BR 225/25(B)|BT 226/25|1056|BT 226/25(B)|BT 225/25|BT 225/1/25|BT 225/25(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:325255","325255","325255|325252|325251|325228|325224|325223|325219|325217|325215|325213|325212|325211|325210|325207|325202|325201|325196|325195|325193|325192|325191|325190|325189|325188|325185|325182|325181|325180|325179|325176|325174|325183","97","32","Bundesministerium für Digitales und Verkehr|Bundesministerium für Bildung und Forschung|Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz|Bundeskanzleramt|Bundesministerium für Arbeit und Soziales|Bundesministerium für Gesundheit|Bundesministerium des Innern und für Heimat|Auswärtiges Amt|Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen|Bundesministerium für Wirtschaft und Klimaschutz|Bundesministerium für Familie, Senioren, Frauen und Jugend|Bundesministerium für Ernährung und Landwirtschaft|Bundesministerium des Innern, für Bau und Heimat|Bundesministerium der Justiz","2021-05-07..2025-09-12","BT 20/15150|BT 21/1323|BT 20/15136|BT 20/15114|BT 20/15040|BT 20/14980|BT 20/14970|BT 20/14870|BT 20/14670|BT 20/14601|BT 20/14599|BT 20/14550|BT 20/14515|BT 20/14479|BT 20/14320|BT 20/14305|BT 20/14250|BT 20/14180|BT 20/14115|BT 20/13900|BT 20/13800|BT 20/12940|BT 20/11110|BT 20/10005|BT 20/9860|BT 20/5151|BT 19/32710|BT 19/32659|BT 19/32501|BT 19/32000|BT 19/31793|BT 19/30079|BT 20/3845|BT 21/22","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:325177","325177","325177|325059|324549|324307|324214|324211|323820","24","7","Bundesministerium für Wirtschaft und Energie|Bundesministerium der Finanzen|Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit|Bundesministerium des Innern|Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend|Auswärtiges Amt","2025-07-10..2025-09-11","BT 21/1450|BT 21/1628|BT 21/1345|BT 21/1090|BR 404/25|BT 21/1040|BR 348/25|BT 21/981|BT 21/979|BT 21/760|BR 300/25|BT 404/25|BT 348/25|BT 300/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:322622","322622","322622|325092|325091","23","3","Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit","2025-06-19..2025-10-16","BR 255/25|BR 255/1/25|BR 255/2/25|BR 1056|BR 255/25(B)|BT 21/1150|BT 21/20|BT 21/1587|BT 21/21|BR zu255/25|BT 21/1372|BT 21/2119|BT 21/2120|BT 21/34|BT 21/1371|BT 21/2117|BT 21/2118|BT 255/25|BT 255/1/25|BT 255/2/25|1056|BT 255/25(B)|zu255/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:325568","325568","325568|325262","7","2","Bundesministerium für Wirtschaft und Energie|Bundeskanzleramt","2025-09-02..2025-09-18","BT 21/1400|BT 21/1711|BT 21/1460|BR 414/25|BT 414/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:324621","324621","324621|324393","9","2","Bundesministerium des Innern|Auswärtiges Amt","2025-07-31..2025-09-26","BR 344/25|BR 344/1/25|BR 1057|BR 344/25(B)|BR 342/25|BR 342/25(B)|BT 344/25|BT 344/1/25|1057|BT 344/25(B)|BT 342/25|BT 342/25(B)","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:326845","326845","326845|326744","7","2","Bundesministerium für Digitales und Staatsmodernisierung","2025-10-02..2025-10-17","BR 575/25|BT 21/2150|BT 21/35|BT 21/2200|BT 575/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
"govaction:dip:327206","327206","327206|327197|327192|327008|326961|326873|326860","24","7","Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend|Bundesministerium für Wirtschaft und Energie|Bundesministerium für Forschung, Technologie und Raumfahrt|Bundesministerium der Finanzen|Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit","2025-10-02..2025-11-06","BT 21/2300|BR 595/25|BT 21/2669|BT 21/2250|BT 21/2350|BT 21/1540|BR 591/25|BT 21/2260|BT 21/1800|BT 21/2210|BR 580/25|BT 595/25|BT 591/25|BT 580/25","dip_procedure_id","false","SPLIT_BY_OFFICIAL_PROCEDURE_ID"
