"object_id","dip_ids","source_ref_count","distinct_titles","responsible_ministries","date_span","title_length","review_flags","review_status"
"govaction:breg-cabinet:2348852:top:1","","2","2","","2025-05-21..2026-04-22","433","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:1","","2","2","BMI","2025-05-28..2025-10-30","79","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:2","","2","2","BMI","2025-05-28..2025-07-23","112","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:3","","2","2","BMJV","2025-05-28..2025-07-24","115","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:4","","2","2","BMDS","2025-05-28..2026-04-21","172","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:6","","1","1","BMG","2025-05-28..2025-05-28","96","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:7","","1","1","BMG","2025-05-28..2025-05-28","96","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:9","","1","1","BMI","2025-05-28..2025-05-28","280","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:10","","1","1","BMI","2025-05-28..2025-05-28","273","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:11","","1","1","BMV","2025-05-28..2025-05-28","237","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:12","","1","1","BMLEH","2025-05-28..2025-05-28","234","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2350536:top:13","","1","1","BMLEH","2025-05-28..2025-05-28","240","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2351622:top:2","","2","2","BMI","2025-06-04..2026-06-22","196","LARGE_SOURCE_TIME_SPAN","SEMANTIC_ENTITY_REVIEW_REQUIRED"
"govaction:breg-cabinet:2351622:top:3","","1","1","BMFTR","2025-06-04..2025-06-04","124","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2353542:top:1","","2","2","","2025-06-11..2025-06-11","50","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2353542:top:2","","1","1","BMUKN","2025-06-11..2025-06-11","293","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2353542:top:3","","1","1","BMWE","2025-06-11..2025-06-11","123","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2354770:top:1","","2","2","BMWSB","2025-06-18..2026-01-29","77","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2354770:top:2","","2","2","BMI","2025-06-18..2025-07-23","186","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2354770:top:6","","1","1","BMF","2025-06-18..2025-06-18","238","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2354770:top:7","","1","1","BMUKN","2025-06-18..2025-06-18","133","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2354770:top:8","","1","1","BMI","2025-06-18..2025-06-18","167","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2356178:top:1","","2","2","BMF","2025-06-24..2025-10-06","355","MULTIPLE_LETTERED_AGENDA_ITEMS","SEMANTIC_ENTITY_REVIEW_REQUIRED"
"govaction:breg-cabinet:2356178:top:2","","1","1","BMJV","2025-06-24..2025-06-24","259","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2356178:top:3","","1","1","BMI","2025-06-24..2025-06-24","146","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2356178:top:5","","1","1","BMBFSFJ","2025-06-24..2025-06-24","206","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2356178:top:6","","1","1","BMF","2025-06-24..2025-06-24","66","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2356178:top:7","","1","1","BMUKN","2025-06-24..2025-06-24","463","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2356178:top:8","","1","1","BMLEH","2025-06-24..2025-06-24","55","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2361648:top:1","","2","2","BMF","2025-07-02..2025-10-17","88","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2361648:top:6","","1","1","BMWE","2025-07-02..2025-07-02","240","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2364494:top:3","","2","2","AA","2025-07-16..2025-07-16","184","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2364494:top:5","","1","1","BMG","2025-07-16..2025-07-16","109","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2364494:top:6","","1","1","BMI","2025-07-16..2025-07-16","208","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2364494:top:7","","1","1","BMF","2025-07-16..2025-07-16","186","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2364494:top:8","","1","1","BMWE","2025-07-16..2025-07-16","130","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2366908:top:2","","2","2","","2025-07-23..2026-02-16","97","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2366908:top:3","","2","2","","2025-07-23..2026-02-16","134","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2366908:top:7","","1","1","BMI","2025-07-23..2025-07-23","124","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2366908:top:8","","1","1","BMI","2025-07-23..2025-07-23","60","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2366908:top:9","","1","1","AA","2025-07-23..2025-07-23","147","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2366908:top:10","","1","1","BMBFSFJ","2025-07-23..2025-07-23","117","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:1","","2","2","BMF","2025-07-30..2025-12-19","148","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:3","","2","2","BMFTR","2025-07-30..2025-07-30","29","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:4","","2","2","BMDS","2025-07-30..2025-07-30","90","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:13","","1","1","BMF","2025-07-30..2025-07-30","245","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:14","","1","1","BMF","2025-07-30..2025-07-30","276","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:15","","1","1","BMWSB","2025-07-30..2025-07-30","202","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:16","","1","1","BMBFSFJ","2025-07-30..2025-07-30","317","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:17","","1","1","AA","2025-07-30..2025-07-30","280","","PASS_AUTOMATED_IDENTITY_GUARDS"
"govaction:breg-cabinet:2373370:top:18","","1","1","BMUKN","2025-07-30..2025-07-30","62","","PASS_AUTOMATED_IDENTITY_GUARDS"
